"43.134.164.175","elite","AS132203","SG","Aceville Pte.ltd","236","N/A","443","socks5","48","1","2022-12-16T23:09:57.256Z","51","302","591"
"109.194.17.214","elite","AS51645","RU","CJSC \"ER-Telecom Holding\" Irkutsk branch","117","JSC \"ER-Telecom Holding\" Irkutsk Branch","3629","socks4","48","1","2022-12-16T23:09:56.610Z","99","583","589"
"37.228.65.107","elite","AS35104","KZ","Jusan Mobile JSC","82","Jusan Mobile","51032","socks4","46","1","2022-12-16T23:09:56.427Z","94","593","634"
"123.31.12.184","elite","AS135905","VN","VietNam Post and Telecom Corporation","201","Vietnam Posts and Telecommunications Group","28417","socks5","47","1","2022-12-16T23:09:54.455Z","100","631","633"
"103.95.97.43","elite","AS136759","BD","Cosmopolitan Communications Limited","270","Cosmopolitan Communications Limited","4153","socks4","46","1","2022-12-16T23:09:54.207Z","97","617","634"
"180.183.121.6","elite","AS45629","TH","Triple T Broadband Public Company Limited","150","Triple T Broadband Public Company Limited","5678","socks4","44","1","2022-12-16T23:09:53.423Z","93","476","513"
"91.227.105.231","elite","AS51944","PL","DARIUSZ WESOLOWSKI trading as PROMEDIA NOWICKI WESOLOWSKI Sp.J","47","PROMEDIA NOWICKI WESOLOWSKI Sp.J","5678","socks4","53","1","2022-12-16T23:09:53.776Z","81","514","633"
"115.127.121.202","elite","AS24342","BD","BRACNet Limited","170","BRACNet Limited","5678","socks4","46","1","2022-12-16T23:09:52.172Z","97","593","613"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","1","APNIC and Cloudflare DNS Resolver project","80","socks4","47","1","2022-12-16T23:09:51.846Z","100","590","590"
"94.23.149.39","elite","AS16276","FR","OVH ISP","5","OVH BV","8444","socks5","47","1","2022-12-16T23:09:51.582Z","96","575","596"
"37.111.50.251","elite","AS133385","MM","Atom Myanmar Limited","298","Telenor Myanmar","4153","socks4","49","1","2022-12-16T23:09:51.661Z","96","605","633"
"212.156.123.218","elite","AS9121","TR","Turk Telekomunikasyon A.S","54","TurkTelekom","8080","https","47","200","2022-12-16T23:09:51.071Z","100","574","576"
"179.108.158.204","elite","AS262973","BR","Max Telecomunicações Ltda","244","Max Telecomunicações Ltda","4145","socks4","58","1","2022-12-16T23:09:50.657Z","100","632","634"
